vgs,id
0.507438,5.57924e-06
0.507434,5.57861e-06
0.507429,5.57806e-06
0.507425,5.57748e-06
0.507421,5.5769e-06
0.507417,5.57632e-06
0.507417,5.57623e-06
0.507416,5.5761e-06
0.507414,5.5758e-06
0.507409,5.57522e-06
0.507405,5.57464e-06
0.507401,5.57404e-06
0.507397,5.57348e-06
0.507393,5.57289e-06
0.507389,5.57231e-06
0.507385,5.57173e-06
0.507381,5.57115e-06
0.507377,5.57057e-06
0.507373,5.56999e-06
0.507369,5.56939e-06
0.507364,5.56883e-06
0.50736,5.56823e-06
0.507356,5.56767e-06
0.507352,5.56709e-06
0.507348,5.56649e-06
0.507344,5.56591e-06
0.50734,5.56535e-06
0.507336,5.56477e-06
0.507332,5.56417e-06
0.507328,5.56359e-06
0.507324,5.56303e-06
0.50732,5.56243e-06
0.507315,5.56187e-06
0.507311,5.56129e-06
0.507307,5.56072e-06
0.507303,5.56013e-06
0.507299,5.55953e-06
0.507295,5.55898e-06
0.507291,5.5584e-06
0.507287,5.55781e-06
0.507283,5.55724e-06
0.507279,5.55666e-06
0.507275,5.55608e-06
0.507271,5.55549e-06
0.507267,5.55491e-06
0.507262,5.55434e-06
0.507258,5.55375e-06
0.507254,5.5532e-06
0.50725,5.55262e-06
0.507246,5.55204e-06
0.507242,5.55146e-06
0.507238,5.55089e-06
0.507234,5.55031e-06
0.50723,5.54973e-06
0.507226,5.54912e-06
0.507222,5.54857e-06
0.507218,5.54801e-06
0.507214,5.54743e-06
0.50721,5.54686e-06
0.507205,5.54628e-06
0.507201,5.5457e-06
0.507197,5.54512e-06
0.507193,5.54454e-06
0.507189,5.54396e-06
0.507185,5.54337e-06
0.507181,5.54283e-06
0.507177,5.54225e-06
0.507173,5.54166e-06
0.507169,5.54111e-06
0.507168,5.54105e-06
0.507167,5.5409e-06
0.507165,5.54058e-06
0.507161,5.54e-06
0.507157,5.53944e-06
0.507153,5.53884e-06
0.507149,5.53829e-06
0.507145,5.53771e-06
0.507141,5.53713e-06
0.507137,5.53658e-06
0.507133,5.53599e-06
0.507129,5.53542e-06
0.507125,5.53486e-06
0.507121,5.53428e-06
0.507117,5.53368e-06
0.507112,5.53315e-06
0.507108,5.53255e-06
0.507104,5.53197e-06
0.5071,5.53141e-06
0.507096,5.53083e-06
0.507092,5.53026e-06
0.507088,5.52968e-06
0.507084,5.52913e-06
0.50708,5.52855e-06
0.507076,5.52797e-06
0.507072,5.52741e-06
0.507068,5.52681e-06
0.507064,5.52626e-06
0.50706,5.52568e-06
0.507056,5.52513e-06
0.507052,5.52455e-06
0.507048,5.52397e-06
0.507044,5.52339e-06
