t_s,GR07_c,GR06_c
153.673,,20.138
153.691,19.876,
153.812,,19.914
153.844,19.883,
153.951,,19.859
153.997,19.88,
154.09,,20.186
154.15,19.873,
154.229,,20.19
154.303,19.877,
154.368,,20.193
154.456,19.875,
154.507,,20.09
154.609,19.88,
154.646,,20.015
154.762,19.878,
154.785,,20.045
154.915,19.876,
155.068,19.873,
156.465,19.886,
156.528,,20.058
156.618,19.888,
156.667,,19.953
156.771,19.887,
156.806,,20.036
156.924,19.883,
156.945,,20.08
157.077,19.886,
157.084,,20.194
157.223,,20.175
157.23,19.888,
157.362,,20.047
157.383,19.891,
157.501,,20.058
157.536,19.886,
157.64,,20.072
157.689,19.884,
157.779,,20.079
157.842,19.887,
